Suburb,No. of Rooms,Type of Property,Year Sold,Price,Postcode,Region Name,No. of properties in Suburb,Distance from CBD,Council for Suburb,Total population
St Kilda,2,unit,2016,0.033616610798985064,3182,Southern Metropolitan,0.4708682662409193,5,Port Phillip City Council,0.5688531570887028
Vermont South,5,house,2016,0.057003456,3133,Eastern Metropolitan,0.1627132418341391,17.2,Whitehorse City Council,0.18632338342277466
Mernda,4,house,2016,0.023561881282024855,3754,Northern Metropolitan,0.2225935849620804,25.9,Whittlesea City Council,0.25395255028016095
Thornbury,2,unit,2018,0.054365493424520794,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.29058687033312774
Kensington,3,house,2016,0.079107983,3031,Northern Metropolitan,0.2015450190477037,3.4,Melbourne City Council,0.17645003575159862
Ringwood East,3,house,2017,0.089033622,3135,Eastern Metropolitan,0.16781580619056533,21.3,Maroondah City Council,0.30551205682738775
St Kilda,2,unit,2016,0.049411182,3182,Southern Metropolitan,0.4708682662409193,5,Port Phillip City Council,0.5688531570887028
Reservoir,3,townhouse,2017,0.048725898882304636,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
MacLeod,4,house,2018,0.06706569,3085,Northern Metropolitan,0.15819163542238174,12.7,Banyule City Council,0.058621388
Camberwell,5,house,2016,0.21854459826050693,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.3205094303238033
Craigieburn,3,townhouse,2017,0.034051487953044475,3064,Northern Metropolitan,0.5358950361287301,20.6,Hume City Council,0.2478557647657131
Moonee Ponds,4,house,2017,0.11181735810645975,3039,Western Metropolitan,0.23840240561557086,6.2,Moonee Valley City Council,0.2299379897492016
Murrumbeena,1,unit,2018,0.016507178,3163,Southern Metropolitan,0.16921746037170643,10.1,Glen Eira City Council,0.15462892448720716
Northcote,1,unit,2018,0.021890890171607464,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37890786863737813
Glen Iris,2,unit,2016,0.027070656811704185,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25293899717027646
Northcote,4,house,2018,0.12857084130255153,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37890786863737813
Noble Park,4,house,2016,0.06403232,3174,South-Eastern Metropolitan,0.4274975935784438,22.7,Greater Dandenong City Council,0.5207149501406154
Glen Iris,3,house,2016,0.13291266774048185,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25293899717027646
Murrumbeena,4,house,2017,0.11085148552654121,3163,Southern Metropolitan,0.16921746037170643,10.1,Glen Eira City Council,0.1535669114423127
Essendon North,3,townhouse,2016,0.060651083,3041,Western Metropolitan,0.035205722,8.2,Moonee Valley City Council,0
Yarraville,1,unit,2018,0.025317807984289786,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4396862057114335
Altona North,3,house,2017,0.065718661,3025,Western Metropolitan,0.19645634490927477,9.4,Hobsons Bay City Council,0.22440180037255328
Gowanbrae,4,house,2016,0.069082836,3043,Western Metropolitan,0.024301793,12.9,Moreland City Council,0.049899342
Ivanhoe,4,house,2018,0.15511416385978397,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.19246062431207847
Airport West,2,townhouse,2017,0.048811585,3042,Western Metropolitan,0.12929216097354493,10.4,Moonee Valley City Council,0.1262006436745911
Seaford,2,unit,2016,0.017391743,3198,South-Eastern Metropolitan,0.3050323411782015,35.4,Frankston City Council,0.2522627239301236
South Kingsville,3,townhouse,2018,0.065297342,3015,Western Metropolitan,0.020269062,6.2,Hobsons Bay City Council,0.15495877999914348
Northcote,3,house,2018,0.13997706132699012,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37890786863737813
Southbank,1,unit,2018,0.029257405988370174,3006,Southern Metropolitan,0.3162537759557959,0.7,Melbourne City Council,0.3422532061013018
Yarraville,3,house,2016,0.068326883,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4316288948779653
Glen Waverley,5,house,2017,0.15511416385978397,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5395641916060876
Mount Waverley,3,house,2016,0.074107972,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.46574825459024705
Carrum Downs,2,house,2017,0.028252095,3201,South-Eastern Metropolitan,0.3044382367730914,34.9,Frankston City Council,0.31164836565601745
Hawthorn,4,house,2017,0.1631709885659494,3122,Southern Metropolitan,0.41198471356997246,5.3,Boroondara City Council,0.3500935968301084
Frankston,3,house,2018,0.041933387,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3373424713047767
Ringwood North,5,house,2018,0.093140404,3134,Eastern Metropolitan,0.1357270560374303,19.9,Manningham City Council,0.15621983228497038
Mount Waverley,4,house,2016,0.14349063121138517,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.46574825459024705
Northcote,2,townhouse,2016,0.049582429983921025,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.3652670445684691
Reservoir,2,unit,2017,0.047482624,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Moonee Ponds,3,house,2018,0.10049037616178355,3039,Western Metropolitan,0.23840240561557086,6.2,Moonee Valley City Council,0.23369577031125013
Brunswick,3,house,2017,0.095596402,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.38686521290536613
South Melbourne,3,house,2018,0.19661389476653673,3205,Southern Metropolitan,0.2275513032174333,1.9,Port Phillip City Council,0.1991505332218935
Richmond,2,house,2016,0.078276382,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.43822900662149655
Glen Iris,2,unit,2018,0.046194849291038634,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.2575825065580797
Eltham,3,house,2016,0.044432204,3095,Eastern Metropolitan,0.26631599020956653,18,Banyule City Council,0.33718712778617255
Mentone,3,unit,2018,0.084909905,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.2106224127374902
Kew,2,unit,2018,0.051293294,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.37186834015385034
Malvern East,2,unit,2017,0.056833474763165796,3145,Southern Metropolitan,0.33001207713944836,8.4,Stonnington City Council,0.3259384963618118
Mernda,4,house,2018,0.05214763,3754,Northern Metropolitan,0.2225935849620804,25.9,Whittlesea City Council,0.3073113499196944
Bentleigh East,3,townhouse,2018,0.081598644,3165,Southern Metropolitan,0.4012853737054564,13.8,Glen Eira City Council,0.40937521418442885
South Melbourne,3,unit,2018,0.071766051,3205,Southern Metropolitan,0.2275513032174333,1.9,Port Phillip City Council,0.1991505332218935
Oakleigh South,3,house,2018,0.059803984,3167,South-Eastern Metropolitan,0.1387434002866786,15.5,Kingston City Council,0.18807280072998955
Wantirna,4,house,2017,0.095596402,3152,Eastern Metropolitan,0.207763776,14.7,Knox City Council,0.21719231227143096
Keilor Downs,4,house,2017,0.051293294,3038,Western Metropolitan,0.13725702511624374,15.5,Brimbank City Council,0.20972686598708962
Doncaster East,4,house,2018,0.091499715,3109,Eastern Metropolitan,0.4022368485631557,14.3,Manningham City Council,0.4147530317813454
Wyndham Vale,3,house,2017,0.034147136,3024,Western Metropolitan,0.20150627212323605,27.2,Wyndham City Council,0.35611558581270175
Richmond,2,unit,2017,0.053214525,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.44732594136450016
Kew,4,house,2018,0.2192674027733636,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.37186834015385034
Altona North,3,house,2017,0.071682309,3025,Western Metropolitan,0.19645634490927477,9.4,Hobsons Bay City Council,0.22440180037255328
Kensington,2,house,2017,0.088210238,3031,Northern Metropolitan,0.2015450190477037,3.4,Melbourne City Council,0.17852495798548607
Brunswick East,3,house,2017,0.084909905,3057,Northern Metropolitan,0.21195214350541988,4,Moreland City Council,0.1908157165881778
Ashburton,4,house,2017,0.12777938894623989,3147,Southern Metropolitan,0.11198371341811048,10.2,Boroondara City Council,0.12835292577615912
Reservoir,3,unit,2017,0.049154256,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Thomastown,3,house,2018,0.048554505,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.30859106658791785
Reservoir,3,unit,2018,0.046151895,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6561133324427597
Flemington,1,unit,2018,0.016728392770463365,3031,Northern Metropolitan,0.13465054053101594,3.4,Melbourne City Council,0.1717092569546257
Ascot Vale,3,house,2017,0.11983022149181702,3032,Western Metropolitan,0.25083506840152275,4.3,Moonee Valley City Council,0.23613143814674536
Albert Park,3,house,2018,0.1372357241882752,3206,Southern Metropolitan,0.12159917211755245,3,Port Phillip City Council,0.2530299990358775
Glenroy,2,house,2016,0.052574525,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.33002714972840386
Hawthorn East,2,house,2018,0.10130371496221191,3123,Southern Metropolitan,0.2476951164303111,6.2,Boroondara City Council,0.25024419182403235
Glenroy,3,townhouse,2018,0.045292419,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.34382146114530393
Kew,5,house,2016,0.157038351,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.3650346269594648
Richmond,3,house,2017,0.10616990461338487,3121,Northern Metropolitan,0.5202135922317321,2.4,Yarra City Council,0.44732594136450016
Broadmeadows,2,house,2018,0.023122417420854212,3047,Northern Metropolitan,0.16327700780566087,14,Hume City Council,0.21631611840130355
Toorak,1,unit,2016,0.046237801849943944,3142,Southern Metropolitan,0.2745259497042004,4.1,Stonnington City Council,0.21155780943419875
Coburg,2,house,2018,0.070760689,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.3918674068285191
Fitzroy North,2,house,2016,0.10576529202441344,3068,Northern Metropolitan,0.23885043429690037,3.6,Moreland City Council,0.19982255321577788
Wheelers Hill,4,house,2016,0.074107972,3150,South-Eastern Metropolitan,0.2808095200457422,16.7,Monash City Council,0.30025588419691795
Kew,3,house,2016,0.15164126822183255,3101,Southern Metropolitan,0.3808333209184989,5.4,Boroondara City Council,0.3650346269594648
Toorak,1,unit,2016,0.023122417420854212,3142,Southern Metropolitan,0.2745259497042004,4.1,Stonnington City Council,0.21155780943419875
Malvern East,3,house,2017,0.16660414089854494,3145,Southern Metropolitan,0.33001207713944836,8.4,Stonnington City Council,0.3259384963618118
Yarraville,3,house,2017,0.10373976976009305,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4351240356364336
Croydon South,3,house,2018,0.053854115,3136,Eastern Metropolitan,0.060284415,23,Maroondah City Council,0.46857111426722403
Mitcham,4,house,2016,0.079107983,3132,Eastern Metropolitan,0.26198500969855726,17.2,Whitehorse City Council,0.2487308782924314
Armadale,3,house,2016,0.22323351577830708,3143,Southern Metropolitan,0.18486201212835568,6.3,Stonnington City Council,0.14988419588384946
Thornbury,2,unit,2017,0.033355594,3071,Northern Metropolitan,0.33236049473935386,7,Darebin City Council,0.28732622961334014
Melbourne,1,unit,2018,0.029257405988370174,3000,Northern Metropolitan,0.5895125632710322,0,Melbourne City Council,0.5999401652661333
Tullamarine,3,house,2016,0.034268855631326756,3043,Western Metropolitan,0.12227048203619278,12.9,Brimbank City Council,0.10756642534410492
Thomastown,3,unit,2016,0.043140492,3074,Northern Metropolitan,0.3007609251187265,15.3,Whittlesea City Council,0.3080867584326531
Sydenham,4,house,2018,0.044604306,3037,Western Metropolitan,0.1365957041034668,18,Brimbank City Council,0.19368908330284537
Reservoir,3,house,2016,0.057088436,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6418521237954418
Reservoir,3,townhouse,2016,0.047010633,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6418521237954418
Gisborne,4,house,2016,0.057258373856025446,3437,Northern Victoria,0.12562028836765604,45.9,Macedon Ranges Shire Council,0.20165801930924668
Lalor,3,house,2018,0.045292419,3075,Northern Metropolitan,0.3120648168955057,16.3,Whittlesea City Council,0.346773082
Seaford,3,house,2017,0.052574525,3198,South-Eastern Metropolitan,0.3050323411782015,35.4,Frankston City Council,0.253926575
Maribyrnong,3,townhouse,2016,0.091499715,3032,Western Metropolitan,0.18808744072017478,4.3,Maribyrnong City Council,0.1965817269904023
Endeavour Hills,4,house,2018,0.067402163,3802,South-Eastern Metropolitan,0.3177381984256641,28.5,Casey City Council,0.368399407
Brighton East,3,townhouse,2017,0.074943045,3187,Southern Metropolitan,0.2644257679092126,10.3,Bayside City Council,0.2475028904702505
Melbourne,2,unit,2016,0.056663465,3000,Northern Metropolitan,0.5895125632710322,0,Melbourne City Council,0.5273077160552411
Glenroy,4,house,2017,0.062427658,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.3357879491267819
Clayton,4,house,2017,0.11623237631557669,3168,South-Eastern Metropolitan,0.22354161408069465,16.7,Monash City Council,0.35490704137480233
Glenroy,3,house,2018,0.087468612,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.34382146114530393
Northcote,2,house,2018,0.10536051565782635,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37890786863737813
Brunswick,2,unit,2017,0.045550339,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.38686521290536613
Brunswick,2,house,2018,0.069502563,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.3976887229067138
Malvern East,3,house,2016,0.14212570948246708,3145,Southern Metropolitan,0.33001207713944836,8.4,Stonnington City Council,0.3202177540338024
Ivanhoe,2,unit,2017,0.071598561,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18914038441832864
Hughesdale,3,house,2016,0.069082836,3166,Southern Metropolitan,0.11591697992393667,12.3,Monash City Council,0.12572829105458436
Braybrook,3,house,2017,0.046151895,3019,Western Metropolitan,0.13448481985283917,8.6,Maribyrnong City Council,0.28623279076524444
Doncaster East,6,house,2016,0.11157597740769767,3109,Eastern Metropolitan,0.4022368485631557,14.3,Manningham City Council,0.4079399429889258
Balwyn North,2,unit,2017,0.043571248,3104,Southern Metropolitan,0.2956251322063743,9.7,Boroondara City Council,0.30836969432495825
Doncaster,4,house,2017,0.11823277706265983,3108,Eastern Metropolitan,0.3377173476916787,12.4,Manningham City Council,0.322281964
Northcote,2,house,2017,0.080354089,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37283748899404173
Toorak,3,house,2016,0.10373976976009305,3142,Southern Metropolitan,0.2745259497042004,4.1,Stonnington City Council,0.21155780943419875
Reservoir,4,house,2018,0.055132071,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6561133324427597
Wheelers Hill,5,house,2017,0.073439411,3150,South-Eastern Metropolitan,0.2808095200457422,16.7,Monash City Council,0.3009624359440376
Keilor East,3,house,2016,0.069082836,3033,Western Metropolitan,0.2156265074969835,11.7,Brimbank City Council,0.3793662478166544
Chelsea Heights,5,house,2017,0.074191511,3196,South-Eastern Metropolitan,0.069744635,27,Kingston City Council,0.089420797
Ashburton,4,house,2016,0.10211639278020225,3147,Southern Metropolitan,0.11198371341811048,10.2,Boroondara City Council,0.12889763220023276
Footscray,1,unit,2017,0.021890890171607464,3011,Western Metropolitan,0.28716056005404184,5.1,Maribyrnong City Council,0.2637747963276384
Bulleen,3,house,2018,0.070760689,3105,Eastern Metropolitan,0.17073703518324615,10.8,Manningham City Council,0.17977064547904723
Templestowe Lower,3,house,2016,0.087798292,3107,Eastern Metropolitan,0.2076097406784447,12.4,Manningham City Council,0.21565509514024353
Northcote,3,house,2017,0.10657435355721959,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37283748899404173
Mooroolbark,5,house,2017,0.057258373856025446,3138,Eastern Victoria,0.3120995084012939,26.5,Yarra Ranges Shire Council,0.33141036731253304
Blackburn,4,house,2018,0.10373976976009305,3130,Eastern Metropolitan,0.21883053815879366,13.4,Whitehorse City Council,0.32633724213042153
Ringwood East,4,house,2016,0.084083117,3135,Eastern Metropolitan,0.16781580619056533,21.3,Maroondah City Council,0.3030420049355027
Northcote,3,house,2018,0.15972600908234696,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37890786863737813
Fawkner,3,house,2017,0.071598561,3060,Northern Metropolitan,0.19403890699474177,13.1,Hume City Council,0.22078341504728802
Hughesdale,5,house,2017,0.076194349,3166,Southern Metropolitan,0.11591697992393667,12.3,Monash City Council,0.12839710221687042
Reservoir,2,unit,2017,0.03209305,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Gisborne,3,house,2017,0.034051487953044475,3437,Northern Victoria,0.12562028836765604,45.9,Macedon Ranges Shire Council,0.20564606048720216
Glen Waverley,5,house,2017,0.087386176,3150,Eastern Metropolitan,0.5306394034370688,16.7,Monash City Council,0.5395641916060876
Keilor East,3,house,2016,0.059973461218817185,3033,Western Metropolitan,0.2156265074969835,11.7,Brimbank City Council,0.3793662478166544
Sunshine,3,house,2017,0.084909905,3020,Western Metropolitan,0.14133925250352913,10.5,Brimbank City Council,0.16064955002541526
Doncaster,2,unit,2016,0.027945930390559322,3108,Eastern Metropolitan,0.3377173476916787,12.4,Manningham City Council,0.3119302957759891
Moonee Ponds,4,house,2018,0.18546550728392253,3039,Western Metropolitan,0.23840240561557086,6.2,Moonee Valley City Council,0.23369577031125013
Frankston South,3,house,2016,0.047010633,3199,South-Eastern Metropolitan,0.2870182821851244,38,Frankston City Council,0.27664242127449484
Brighton East,4,townhouse,2018,0.15511416385978397,3187,Southern Metropolitan,0.2644257679092126,10.3,Bayside City Council,0.24888753421108195
Blackburn,3,house,2018,0.095596402,3130,Eastern Metropolitan,0.21883053815879366,13.4,Whitehorse City Council,0.32633724213042153
Eltham,4,house,2018,0.099676375,3095,Eastern Metropolitan,0.26631599020956653,18,Banyule City Council,0.34021793935614536
Wyndham Vale,3,house,2018,0.037090344,3024,Western Metropolitan,0.20150627212323605,27.2,Wyndham City Council,0.37548631411961414
Templestowe,4,house,2016,0.093140404,3106,Eastern Metropolitan,0.23728145493211517,15.5,Manningham City Council,0.2585137980161174
Mount Waverley,4,house,2018,0.13605856101526045,3149,Eastern Metropolitan,0.47459068479071903,14.2,Monash City Council,0.47512002190817804
Melbourne,2,unit,2016,0.095596402,3000,Northern Metropolitan,0.5895125632710322,0,Melbourne City Council,0.5273077160552411
Doncaster,4,house,2017,0.10049037616178355,3108,Eastern Metropolitan,0.3377173476916787,12.4,Manningham City Council,0.322281964
Reservoir,4,house,2017,0.062343130574135555,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Fitzroy North,3,house,2017,0.10576529202441344,3068,Northern Metropolitan,0.23885043429690037,3.6,Moreland City Council,0.20175380933757797
Brunswick,3,townhouse,2016,0.048811585,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.3743930845533775
Brighton,4,townhouse,2017,0.19661389476653673,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.3460389541534153
Northcote,2,house,2017,0.056408395,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37283748899404173
South Morang,4,house,2016,0.069334693,3752,Northern Metropolitan,0.30125201534888524,20.5,Whittlesea City Council,0.3505771643886106
Glenroy,3,house,2017,0.06361029,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.3357879491267819
Glenroy,4,house,2016,0.079107983,3046,Northern Metropolitan,0.33236049473935386,11.2,Moreland City Council,0.33002714972840386
Wheelers Hill,4,townhouse,2017,0.092320396,3150,South-Eastern Metropolitan,0.2808095200457422,16.7,Monash City Council,0.3009624359440376
Footscray,1,unit,2016,0.011716962453849972,3011,Western Metropolitan,0.28716056005404184,5.1,Maribyrnong City Council,0.25742720695895804
Northcote,5,house,2018,0.20030257471439014,3070,Northern Metropolitan,0.413741191,5.3,Darebin City Council,0.37890786863737813
Carnegie,3,house,2017,0.12062798778861472,3163,Southern Metropolitan,0.2960835,10.1,Glen Eira City Council,0.2833489301889839
Port Melbourne,2,unit,2018,0.10373976976009305,3207,Southern Metropolitan,0.3247849594487693,3.5,Melbourne City Council,0.2646360951422846
Yarraville,3,house,2018,0.10300957622637136,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4396862057114335
Sunshine West,3,house,2016,0.050865853,3020,Western Metropolitan,0.2580380689316444,10.5,Brimbank City Council,0.28450851135724686
Carnegie,2,house,2018,0.094778406,3163,Southern Metropolitan,0.2960835,10.1,Glen Eira City Council,0.29039904516024606
Doncaster,2,house,2018,0.079107983,3108,Eastern Metropolitan,0.3377173476916787,12.4,Manningham City Council,0.3305325466562402
Fitzroy North,2,house,2017,0.066224009,3068,Northern Metropolitan,0.23885043429690037,3.6,Moreland City Council,0.20175380933757797
Ivanhoe,2,townhouse,2017,0.061920387,3079,Eastern Metropolitan,0.21256547583575958,7.8,Banyule City Council,0.18914038441832864
Hawthorn East,3,unit,2017,0.12777938894623989,3123,Southern Metropolitan,0.2476951164303111,6.2,Boroondara City Council,0.24551401182969113
Pascoe Vale,2,house,2018,0.040983925,3044,Northern Metropolitan,0.2841327913420671,8.5,Moreland City Council,0.48605373198167384
Coburg,3,house,2016,0.10940092519483136,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.38139205754548894
Melton South,3,house,2017,0.027289547039129596,3338,Western Victoria,0.1802022082536692,29.8,Melton City Council,0.3669504586968701
Doncaster,4,house,2017,0.099676375,3108,Eastern Metropolitan,0.3377173476916787,12.4,Manningham City Council,0.322281964
Glen Iris,2,unit,2018,0.06403232,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.2575825065580797
Yarraville,3,house,2018,0.067402163,3013,Western Metropolitan,0.24994949216564627,6.3,Maribyrnong City Council,0.4396862057114335
Coburg,3,townhouse,2018,0.062343130574135555,3058,Northern Metropolitan,0.4087144760790836,6.7,Darebin City Council,0.3918674068285191
Delahey,3,house,2016,0.028645598076964443,3037,Western Metropolitan,0.1054363493545657,18,Brimbank City Council,0.13653634950836963
Wollert,1,house,2017,0.025843985318187254,3750,Northern Metropolitan,0.10722624968327243,25.5,Whittlesea City Council,0.17618334849696676
Pascoe Vale,2,townhouse,2017,0.045722249,3044,Northern Metropolitan,0.2841327913420671,8.5,Moreland City Council,0.4759109224312301
Delahey,4,house,2017,0.047868634,3037,Western Metropolitan,0.1054363493545657,18,Brimbank City Council,0.13808336597300672
Brunswick West,3,house,2017,0.089856329,3055,Northern Metropolitan,0.26965150196710946,5.2,Moreland City Council,0.22083711641400056
East Melbourne,3,house,2016,0.12460730064009592,3002,Northern Metropolitan,0.11147506640816128,1.3,Melbourne City Council,0.085877821
Eltham,3,house,2016,0.055557693,3095,Eastern Metropolitan,0.26631599020956653,18,Banyule City Council,0.33718712778617255
Brunswick,2,house,2017,0.064875846,3056,Northern Metropolitan,0.43095353382384194,5.2,Moreland City Council,0.38686521290536613
Brunswick East,2,unit,2016,0.029694182584088707,3057,Northern Metropolitan,0.21195214350541988,4,Moreland City Council,0.1798126079226663
Hillside,3,house,2016,0.047182291681028214,3037,Western Metropolitan,0.21283369048571887,18,Brimbank City Council,0.30575872678423793
Dingley Village,6,house,2017,0.075777422,3172,South-Eastern Metropolitan,0.14892327639210665,22.2,Kingston City Council,0.16399453460457164
Brunswick West,3,house,2016,0.094778406,3055,Northern Metropolitan,0.26965150196710946,5.2,Moreland City Council,0.21907689559604976
Meadow Heights,3,unit,2018,0.032310843475260434,3048,Northern Metropolitan,0.17964790646175172,17.4,Hume City Council,0.23516582321976606
Sunshine,3,house,2016,0.046151895,3020,Western Metropolitan,0.14133925250352913,10.5,Brimbank City Council,0.15846572232212935
Brunswick West,2,unit,2018,0.048725898882304636,3055,Northern Metropolitan,0.26965150196710946,5.2,Moreland City Council,0.22621944808904768
Noble Park,4,house,2017,0.062765696,3174,South-Eastern Metropolitan,0.4274975935784438,22.7,Greater Dandenong City Council,0.5223746685683135
Bentleigh East,4,house,2016,0.074943045,3165,Southern Metropolitan,0.4012853737054564,13.8,Glen Eira City Council,0.40088951629085434
Williamstown,3,house,2017,0.1294407160163725,3016,Western Metropolitan,0.243914113,6.8,Hobsons Bay City Council,0.24569736349870494
Mentone,2,unit,2017,0.051293294,3194,South-Eastern Metropolitan,0.23578489673600536,20,Kingston City Council,0.20884410356260247
Doncaster East,4,townhouse,2017,0.079107983,3109,Eastern Metropolitan,0.4022368485631557,14.3,Manningham City Council,0.41107484634003477
Carrum Downs,3,house,2017,0.034920675,3201,South-Eastern Metropolitan,0.3044382367730914,34.9,Frankston City Council,0.31164836565601745
Nunawading,4,house,2016,0.10292841068921384,3131,Eastern Metropolitan,0.19024502349624367,15.4,Manningham City Council,0.18952831426331104
Heidelberg West,2,house,2017,0.068662933,3081,Eastern Metropolitan,0.095835727,8.8,Banyule City Council,0.22565846822954055
Frankston South,3,house,2016,0.081515722,3199,South-Eastern Metropolitan,0.2870182821851244,38,Frankston City Council,0.27664242127449484
Ashburton,4,house,2018,0.11181735810645975,3147,Southern Metropolitan,0.11198371341811048,10.2,Boroondara City Council,0.12935377952901228
Ascot Vale,4,house,2016,0.11422796594314712,3032,Western Metropolitan,0.25083506840152275,4.3,Moonee Valley City Council,0.2329400376455309
Glen Iris,3,house,2016,0.076402747,3146,Southern Metropolitan,0.3834531978920687,7.3,Boroondara City Council,0.25293899717027646
Frankston,3,house,2017,0.042709550696159136,3199,South-Eastern Metropolitan,0.5778523965272521,38,Frankston City Council,0.3344467279356161
Meadow Heights,3,unit,2017,0.033181544,3048,Northern Metropolitan,0.17964790646175172,17.4,Hume City Council,0.2351128858578871
Sunshine West,3,house,2018,0.060439375371975204,3020,Western Metropolitan,0.2580380689316444,10.5,Brimbank City Council,0.29033642892884615
Mitcham,4,house,2018,0.09191014,3132,Eastern Metropolitan,0.26198500969855726,17.2,Whitehorse City Council,0.2555357941838218
Camberwell,4,house,2017,0.1333064460483858,3124,Southern Metropolitan,0.3340588070255455,7.7,Boroondara City Council,0.3245113759996223
Eltham,3,house,2017,0.058107630807280757,3095,Eastern Metropolitan,0.26631599020956653,18,Banyule City Council,0.3391212258102883
South Morang,3,house,2018,0.049753648201957705,3752,Northern Metropolitan,0.30125201534888524,20.5,Whittlesea City Council,0.3605266780101938
Brighton,4,house,2016,0.2112876723637197,3186,Southern Metropolitan,0.3888331055252547,10.5,Bayside City Council,0.34131345143894126
Reservoir,3,house,2018,0.046151895,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6561133324427597
Bentleigh East,3,house,2017,0.092320396,3165,Southern Metropolitan,0.4012853737054564,13.8,Glen Eira City Council,0.4042477409328318
South Yarra,2,townhouse,2018,0.077527349,3141,Southern Metropolitan,0.5184653400382029,2.7,Melbourne City Council,0.42404313712184016
Templestowe Lower,3,house,2017,0.1201095120955038,3107,Eastern Metropolitan,0.2076097406784447,12.4,Manningham City Council,0.21601938649640035
Reservoir,4,house,2017,0.077444089,3073,Northern Metropolitan,0.6931471805599453,12,Darebin City Council,0.6495591895598463
Brighton East,2,house,2017,0.10616990461338487,3187,Southern Metropolitan,0.2644257679092126,10.3,Bayside City Council,0.2475028904702505
Abbotsford,1,unit,2018,0.032659214842657686,3067,Northern Metropolitan,0.15214441636099457,3,Yarra City Council,0.15261875811523595
Bulleen,3,house,2017,0.084083117,3105,Eastern Metropolitan,0.17073703518324615,10.8,Manningham City Council,0.178202786
Beaumaris,4,house,2017,0.09067836,3193,Southern Metropolitan,0.20552793260941107,17.3,Bayside City Council,0.21676105123052886
